Title,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Qlona,Karol G & Peso Pluma,5qo0wgdoWODZj9efbNWgv0,0.632,0.359,0,-8.254,1,0.0347,0.612,0.911,0.117,0.833,80.018
You're Losing Me (From The Vault),Taylor Swift,3CWq0pAKKTWb0K4yiglDc4,0.747,0.391,0,-13.767,1,0.052,0.529,0.003,0.111,0.195,102.984
500lbs,Lil Tecca,1xWkeSPhf3bZqHY7Ncz8vp,0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042
The Painter,Cody Johnson,6UoKX6uLJwhsnyTp5k5StP,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981
Never Lose Me,Flo Milli,6uTPdRrEDeH8Fyg5L5qmeU,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964
Burn It Down,Parker McCollum,09hVlIVHtEE1nLUv6YGZiW,0.461,0.718,2,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187
Winter Wonderland,Chloe,0u1Sp4e3Phbbg9U215CMBe,0.0746,0.042,2,-25.752,1,0.0408,0.925,0.615,0.0484,0.0347,77.81
Segun Quien,Maluma & Carin Leon,6fNCrsrdIcgVd2aZZ0nnz4,0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987
Needle,Nicki Minaj Featuring Drake,2OOcagX0sr4SQuBbHJkE5I,0.53,0.614,7,-11.556,1,0.0408,0.283,0.0281,0.53,0.638,115.329
DJ Play A Christmas Song,Cher,2ljUUoqlnRUGGa7bmpvevC,0.533,0.76,11,-7.256,0,0.121,0.157,0.0,0.614,0.466,133.916
Mind On You,George Birge,7rr3gguU3TcVnLZD9VzASE,0.576,0.815,10,-3.999,0,0.0267,0.142,0.0,0.267,0.56,130.032
Lace It,"Juice WRLD, Eminem & benny blanco",4qmG24ebshLXtKu9HIShBP,0.773,0.597,2,-7.138,1,0.309,0.194,0.0,0.22,0.305,160.101
Hey Driver,Zach Bryan Featuring The War And Treaty,4pCbJC43j3gSqG6Fen6upD,0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014
Feather,Sabrina Carpenter,2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51
Can't Catch Me Now,Olivia Rodrigo,56xHMIfQPoe0prrSi3BGhf,0.521,0.366,11,-7.698,0,0.034,0.838,4.11e-06,0.12,0.225,141.965
El Amor de Su Vida,Grupo Frontera & Grupo Firme,0O3U5iwTbiXCREMkvotJuN,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701
Standing Next To You,Jung Kook,2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017
Man Made A Bar,Morgan Wallen Featuring Eric Church,73zawW1ttszLRgT9By826D,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,2Sy3dDqPwjnTO3PnommJPe,0.844,0.637,10,-6.072,0,0.0325,0.22,0.0,0.0459,0.96,125.012
Great Gatsby,Rod Wave,4M68xjcc42oxyphhzpOWXS,0.67,0.555,1,-9.12,0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937
